Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,OddsHome,OddsDraw,OddsAway,Season,League,LeagueCode
17/12/2023,Bayern Munich,Stuttgart,3,0,H,17,5,8,2,1.45,5.25,5.5,2023-24,Bundesliga,D1
19/12/2023,Werder Bremen,RB Leipzig,1,1,D,11,18,3,9,5.0,4.5,1.57,2023-24,Bundesliga,D1
19/12/2023,Dortmund,Mainz,1,1,D,21,11,8,6,1.55,4.75,5.25,2023-24,Bundesliga,D1
19/12/2023,Hoffenheim,Darmstadt,3,3,D,13,14,4,3,1.44,5.0,6.5,2023-24,Bundesliga,D1
20/12/2023,Union Berlin,FC Koln,2,0,H,12,15,8,7,1.95,3.6,3.8,2023-24,Bundesliga,D1
20/12/2023,Ein Frankfurt,M'gladbach,2,1,H,15,7,7,2,1.83,4.0,3.8,2023-24,Bundesliga,D1
20/12/2023,Heidenheim,Freiburg,3,2,H,14,10,3,4,2.8,3.6,2.38,2023-24,Bundesliga,D1
20/12/2023,Leverkusen,Bochum,4,0,H,15,6,8,1,1.17,8.0,15.0,2023-24,Bundesliga,D1
20/12/2023,Stuttgart,Augsburg,3,0,H,17,6,7,5,1.36,5.25,7.5,2023-24,Bundesliga,D1
20/12/2023,Wolfsburg,Bayern Munich,1,2,A,5,20,4,7,6.5,5.75,1.36,2023-24,Bundesliga,D1
12/01/2024,Bayern Munich,Hoffenheim,3,0,H,27,12,12,4,1.14,9.0,12.0,2023-24,Bundesliga,D1
13/01/2024,Augsburg,Leverkusen,0,1,A,2,25,0,6,5.25,4.75,1.5,2023-24,Bundesliga,D1
13/01/2024,FC Koln,Heidenheim,1,1,D,13,10,6,2,2.05,3.6,3.4,2023-24,Bundesliga,D1
13/01/2024,Freiburg,Union Berlin,0,0,D,14,8,4,4,2.05,3.6,3.5,2023-24,Bundesliga,D1
13/01/2024,Mainz,Wolfsburg,1,1,D,12,9,4,4,2.2,3.4,3.25,2023-24,Bundesliga,D1
13/01/2024,RB Leipzig,Ein Frankfurt,0,1,A,26,5,7,1,1.45,4.5,7.5,2023-24,Bundesliga,D1
13/01/2024,Darmstadt,Dortmund,0,3,A,10,17,2,8,5.25,4.5,1.53,2023-24,Bundesliga,D1
14/01/2024,Bochum,Werder Bremen,1,1,D,13,15,4,4,2.15,3.6,3.1,2023-24,Bundesliga,D1
14/01/2024,M'gladbach,Stuttgart,3,1,H,8,14,4,2,3.5,4.0,1.91,2023-24,Bundesliga,D1
20/01/2024,Bochum,Stuttgart,1,0,H,6,17,1,4,3.6,3.8,1.95,2023-24,Bundesliga,D1
20/01/2024,Darmstadt,Ein Frankfurt,2,2,D,13,7,3,4,3.8,3.75,1.91,2023-24,Bundesliga,D1
20/01/2024,FC Koln,Dortmund,0,4,A,16,11,5,7,4.5,4.0,1.73,2023-24,Bundesliga,D1
20/01/2024,Freiburg,Hoffenheim,3,2,H,16,16,8,4,2.0,3.8,3.4,2023-24,Bundesliga,D1
20/01/2024,Heidenheim,Wolfsburg,1,1,D,12,12,3,3,2.7,3.5,2.55,2023-24,Bundesliga,D1
20/01/2024,RB Leipzig,Leverkusen,2,3,A,11,18,6,5,2.4,3.8,2.7,2023-24,Bundesliga,D1
21/01/2024,Bayern Munich,Werder Bremen,0,1,A,21,8,6,3,1.09,11.0,21.0,2023-24,Bundesliga,D1
21/01/2024,M'gladbach,Augsburg,1,2,A,18,15,4,7,1.91,3.8,3.8,2023-24,Bundesliga,D1
24/01/2024,Bayern Munich,Union Berlin,1,0,H,24,4,10,1,1.18,7.0,17.0,2023-24,Bundesliga,D1
26/01/2024,Ein Frankfurt,Mainz,1,0,H,13,7,4,0,2.15,3.4,3.5,2023-24,Bundesliga,D1
27/01/2024,Augsburg,Bayern Munich,2,3,A,14,13,7,4,8.5,5.75,1.3,2023-24,Bundesliga,D1
27/01/2024,Hoffenheim,Heidenheim,1,1,D,20,15,8,3,1.67,4.5,4.33,2023-24,Bundesliga,D1
27/01/2024,Stuttgart,RB Leipzig,5,2,H,19,4,11,2,2.63,3.8,2.4,2023-24,Bundesliga,D1
27/01/2024,Werder Bremen,Freiburg,3,1,H,14,7,4,4,2.4,3.5,2.88,2023-24,Bundesliga,D1
